@id	@lat	@lon	name	highway
744851888	8.5449956	77.0023500	Malamukal	bus_stop
744851908	8.5246668	76.9889390	Vattiyoorkavu Junction	bus_stop
744851966	8.5370382	77.0174991	Prambumukku	bus_stop
744851970	8.5322287	77.0104486	Vellaikkadavu	bus_stop
744851975	8.5322000	77.0262110	Kavinpuram	bus_stop
744851980	8.5216959	77.0299231	Kollamkonam	bus_stop
744868461	8.5425978	77.0124566	Mylammoodu	bus_stop
744877165	8.5256447	76.9925814	Thoppumukku Junction	bus_stop
744877170	8.5131274	76.9785059	Maruthankuzhi	bus_stop
764885479	9.7590652	76.6357841	kudakkachira Pally Kavala;Kudakkachira	bus_stop
765697277	9.8371923	76.7455168	Muttom Bus Stand	
775942820	11.2215230	75.7929032	Kannanchery	bus_stop
775942821	11.2206372	75.7929335	Kannanchery	bus_stop
775942828	11.2262568	75.7911740	Panniyankara	bus_stop
775942838	11.2268303	75.7913667	Panniyankara	bus_stop
775949131	11.2193320	75.7941816	Ashramam	bus_stop
792149010	10.6384878	76.0215204	Mukham Moodi Mukku	bus_stop
801907220	9.7996742	76.6598304	Ramapuram Private BusStand	
854622337	9.5566250	76.7134367	College padi	bus_stop
870011816	9.8035840	76.6140319	Areekara	bus_stop
944902406	9.9778726	76.3342102	Labour Corner	bus_stop
945277211	9.9458896	76.6442082		bus_stop
945277294	9.9445474	76.6434187		bus_stop
976452403	10.0280687	76.3110930	Edappally Toll	bus_stop
982135818	9.9735460	76.2441410	Vypin	bus_stop
997591145	9.6677898	76.5557469	Kerala state road transport coperation bus stand ettumanoor	
1011448233	8.4904054	76.9170405	ITI	bus_stop
1011448257	8.4887495	76.9189790	KSEB	bus_stop
1015457510	9.7001066	76.7583403	Panackapalam Junction	bus_stop
1015492643	9.7524972	76.7614083	Kailasamattam	bus_stop
1049713235	10.1395161	76.1990351	Palli	bus_stop
1049713241	10.1445191	76.2264466	KMK Junction	bus_stop
1051266451	9.0492452	76.8641767	Vakkeel Mukku	bus_stop
1051276822	9.0521696	76.8565053	Kurishummoodu	bus_stop
1051399901	9.0262364	76.8499634	Kunnikodu LPS Bus Stop	bus_stop
1051403672	9.0179903	76.8374557	Chethadi bus Stop	bus_stop
1051403676	9.0240424	76.8471990	Kunnikode	bus_stop
1051403684	9.0234956	76.8471806	Kunnikodu	bus_stop
1051403701	9.0200061	76.8437083	Pachila Valavu	bus_stop
1051411878	9.0172685	76.8350705	Chethady	bus_stop
1051411886	9.0139782	76.8255142	Chengamanadu	bus_stop
1051698518	9.1533562	76.7339793	Adoor Private Bus Stop	bus_stop
1051698542	9.1567766	76.7306466	Private Bus Stand Adoor	bus_stop
1054759920	11.2162405	75.7961011	vattakinnar	bus_stop
1054759922	11.2151986	75.7978741	vattakinar	bus_stop
1055132385	9.6560256	76.8322510	Kunnonni	bus_stop
1063556759	11.2698707	75.7760743	Nadakkave Bus Stop	bus_stop
1063556763	11.2732775	75.7747275	Vandipetta	bus_stop
1063556765	11.2735031	75.7748455	Vandipetta	bus_stop
1069345860	9.4173390	76.5491634	Idinjillam	bus_stop
1078144106	9.7035589	76.7200171	Marygiri Hospital	bus_stop
1080615518	12.5235708	74.9951732	Kudlu Bus stop	bus_stop
1080616196	12.5280457	74.9970428	Parekatta Bus stop	bus_stop
1080644698	12.5082553	74.9880042	Karandakkad	bus_stop
1080684023	12.5068621	74.9942898	Kasaragod Muncipal Bus stand	
1080688675	12.5114118	74.9980115	Nullipady Busstop	bus_stop
1080729418	11.2530547	75.7818031	LIC Bus stop	bus_stop
1080732673	11.4397267	75.7107916	Aquaduct	bus_stop
1081629154	12.5263017	74.9958409	Bus stop	bus_stop
1083025372	12.5070762	74.9901869	aswini nagar	bus_stop
1085841407	10.6870112	76.6601190		bus_stop
1111334197	11.4731700	75.6408007		bus_stop
1111407968	11.8660057	75.3666198	Prabath Junction	bus_stop
1114147971	8.5831052	76.8625379	Vettu Road	bus_stop
1129139562	11.2521469	75.8048497	Mylampadi Junction	bus_stop
1161721527	10.3019364	76.3359263	Private bus stand	
1166511365	8.8855262	76.5800666	Lekshmi Nada	bus_stop
1166511825	8.8890226	76.5752614	Ammachiveedu	bus_stop
1166965605	10.6007606	76.0594202	Thaikkad Thirivu	bus_stop
1166965746	10.5933319	76.0438602	Guruvayur Private Bus Stand	
1172715264	10.1887554	76.2019783	Moothakunnam Bus Stop	bus_stop
1190898939	9.9432581	76.3739987	Thiruvankulam Junction	bus_stop
1195120299	10.2749119	77.1599206	Bus Stand	
1195407672	10.1015078	76.5416684	Cherukunnam	bus_stop
1195407691	10.0697318	76.6021079	Nangelipadi	bus_stop
1221974561	10.2260879	76.4142155	Malancharakku	bus_stop
1237505637	8.7522944	76.7189883	Kannamba	bus_stop
1257775021	9.7119117	76.7077240	Kochidappadi	bus_stop
1311896424	9.6905074	76.7427285	Kulam Kavala	bus_stop
1312822824	9.6360157	76.7313575	Kuruvikkoodu	bus_stop
1312823027	9.5712542	76.7507571	Attikkal	bus_stop
1368663722	8.5084398	76.9876084		bus_stop
1368663732	8.5096282	76.9944371		bus_stop
1413371601	9.8877356	76.7586621	Meenmutty	bus_stop
1413447772	9.9214521	76.7570376	Ezhumuttom	bus_stop
1413447774	9.9233544	76.7703414		bus_stop
1413469387	9.8999447	76.7274529	Karikkodu	bus_stop
1465970791	10.9167488	76.0963587	Athikarai Padi	bus_stop
1465970792	10.9210984	76.0980123		bus_stop
1466006847	10.9044378	76.0976603	Pookatiri	bus_stop
1466006853	10.9026102	76.0895258	Palli Road	bus_stop
1468047003	12.4507487	75.0224926	Kalanad bus station	
1468049848	12.4550545	75.0332858	Mangad Bus Stop	
1472174498	10.0207497	76.3436819	"Bus Terminal, Kakkanad"	
1474435860	11.9896481	75.6784147	Iritty	
1483966976	10.5002715	76.1076995	kambanipadi stop	bus_stop
1484828100	9.2833590	76.4415461	Danapady	bus_stop
1488474515	8.4705379	76.9810403	Pappanamcode	
1489651296	9.6961747	76.3471741	Pallikavala	bus_stop
1510460479	9.1213650	76.4949445		bus_stop
1510460509	9.1251637	76.4961424	MADATHIL STOP	bus_stop
1511950222	9.5381344	76.3420893	Luther School Junction Komalapuram	bus_stop
1511950268	9.5428515	76.3422875	Komalapuram	bus_stop
1525970903	10.0730236	76.3991994	Confident ATIK III	bus_stop
1537939333	9.5339245	76.3156828	Pathirapally	bus_stop
1553237990	10.8608351	76.0944716		bus_stop
1568058791	9.5314892	76.7844997	Mannamplavu	bus_stop
1568058799	9.5293774	76.7849040	Pallippadi	bus_stop
1568058829	9.5247744	76.7812379	Moonnam Mile	bus_stop
1568058840	9.5192765	76.7795919	Karakkamattam	bus_stop
1568058900	9.5134602	76.7814853	Valakkayam	bus_stop
1568073084	9.5386452	76.7925018	Anchilippa Bus Stop	bus_stop
1568073133	9.5382615	76.7896677	Kathalangal Padi	bus_stop
1623281192	8.3119029	77.1059741	Pazhaya Uchakkada	bus_stop
1653512597	9.6462281	76.6341294	Alummodu Jn.	bus_stop
1654709650	9.9362521	76.7560390	Shappumpadi	bus_stop
1667290710	8.5598957	77.0579136	Naalumukk junction	bus_stop
1668617281	11.7609615	75.4820381	"Ksrtc Depot, Thalassery"	
1668649586	11.7490806	75.4888662		bus_stop
1669921725	8.5665959	76.8730921	Kazhakuttam Market	bus_stop
1669924464	8.5677727	76.8736216		bus_stop
1672176838	9.5697175	76.5951556	Malakunnam	bus_stop
1677931992	10.7538148	76.2087543		bus_stop
1681356854	11.7606321	75.4925762	prathiksha	bus_stop
1681397094	11.7510310	75.4918556		bus_stop
1682779092	9.2553663	76.5659302	Pynummoodu	bus_stop
1682930314	12.0802941	75.2633371	Pilathara Bus Stand	
1683000770	8.4404493	76.9556860	Thiruvallam temple bus stop	bus_stop
1683013520	8.4411055	76.9550129		bus_stop
1683508267	9.0636111	76.5684161		bus_stop
1683508647	9.1265664	76.6325313	KOTTAPURAM	bus_stop
1685165893	12.1081344	75.2151009	Payyanur New	
1689155707	12.0808008	75.2409143	Andamkovval	bus_stop
1689876487	11.5974016	75.5875535	Vatakara Old Bus Stand	
1700628944	10.8241536	76.2809001	Parekkad	bus_stop
1700628975	10.8357826	76.2776494	Mundakottukurushi Hospital Jn.	bus_stop
1700629110	10.8643089	76.2824177	krishnappadi	bus_stop
1704785116	8.3916820	76.9749837	Kovalam beach	bus_stop
1715812086	8.4850898	76.9714262	Kunjalummoodu	bus_stop
1715987549	8.4827661	76.9761583		bus_stop
1719483659	10.0936438	76.5042864	ChanganChira	bus_stop
1719486902	10.0918794	76.5100934	peechinammukal	bus_stop
1725058325	9.5383464	76.8925461	Kurishadi	bus_stop
1725058504	9.5580882	76.9558103	Pullupara Bus Stop	bus_stop
1725536180	10.6707693	76.0023982	Attupuram	bus_stop
1725554525	10.7487282	75.9688914	Panampad	bus_stop
1725558398	10.7385932	75.9731668	Jishar	bus_stop
1726646170	8.8106032	76.6685779		bus_stop
1726690542	8.4821270	76.9572728	Killippalam Junction	bus_stop
1726690625	8.4821100	76.9666448	Karamana	bus_stop
1735119315	9.7424253	76.6118686	മരങ്ങാട്ടുപിള്ളി	bus_stop
1750608503	12.5274999	75.0064684	A R Camp	bus_stop
1750611849	12.5302950	74.9983896	Vivekananda Nagar	bus_stop
1750615125	12.5106398	74.9897931	Krishna Theater	bus_stop
1750616740	12.5119648	74.9908767	Battampara	bus_stop
1750617095	12.5134311	74.9920837	Soorlu	bus_stop
1750619411	12.5153164	74.9925397	Choori	bus_stop
1750620881	12.5197133	74.9945456	Meepuguri	bus_stop
1750670373	12.5337155	74.9994973	Mannippady	bus_stop
1750670815	12.5363050	74.9998701	Mannippady II	bus_stop
1750675697	12.5446898	75.0007672	Uliyathaduka(Seethangoli Jn)	bus_stop
1750677915	12.5627455	75.0209522	Patla Road	bus_stop
1750712879	12.5167694	75.0144506	Vidyanagar	bus_stop
1755918981	10.0345510	76.2720485		bus_stop
1770461910	11.1112388	75.8356331	Anangadi	bus_stop
1771519843	8.4912104	76.9470014	Ayurveda College	bus_stop
1776776979	12.0740605	75.1920560	Punnakkadavu	bus_stop
1776776980	12.0706905	75.1909218	Kunnatheru	bus_stop
1776815093	12.0694210	75.1963936	Kallettum Kadavu	bus_stop
1777004977	12.1008992	75.2305276	Payynur College Bus Stop	bus_stop
1782396411	9.7183985	76.5598027	vempally north	bus_stop
1787249622	12.0910795	75.1946515	Payyanur Railway Station	bus_stop
1787249624	12.0799574	75.1949520	Punchakkad	bus_stop
1787256216	12.0976021	75.1934808	Kotty Railway Gate	
1787262174	12.1056768	75.2046645	Bypass Road Payyanur	bus_stop
1787291822	12.1039803	75.2014255	Block Office	bus_stop
1800648332	11.2858321	75.7680356	Westhill (West Hill) bus_stop	bus_stop
1805290549	8.5885178	76.9500600	"Pallilivala,Vattappara"	bus_stop
1815810055	10.0518738	77.1967539		bus_stop
1824531738	10.6097473	76.0033382	Athirthi Bus Stop	bus_stop
1824532633	10.6056546	76.0055584	Athani Thiruvathira	bus_stop
1824533243	10.6023302	76.0070498	Thiruvathra School	bus_stop
1824546384	10.5984757	76.0086886	Putiyara	bus_stop
1824547774	10.5887949	76.0133469	vishwanath temple	bus_stop
1824549974	10.5920533	76.0116819	"Ayinipully, manathala"	bus_stop
1824571352	10.5800288	76.0183544	manathala	bus_stop
1825903903	10.5945582	76.0364251	West Nada	bus_stop
1842181569	9.5984192	76.5282884	Nagampadam Bridge	bus_stop
1842395429	11.3038641	75.8741753	IIm	bus_stop
1842395440	11.4714252	75.9684797		
1850148559	11.3638898	75.9645525	Omassery	
1850177930	11.3208658	75.9971628	Mukkam	
1855500252	11.3410113	75.9250465	Thalapperumanna;Thala paerumanna	bus_stop
1855535725	11.3995822	75.9543872	Koodathai	bus_stop
1855535823	11.3814816	75.9535986	Mudoor	bus_stop
1855552754	11.4144163	75.9444844	Vezhupoor Jn	bus_stop
1855552876	11.4051510	75.9482288	Chudalamukku	bus_stop
1856760050	8.7552118	76.8585899	Chemmarathumukku;Chembarathimukku Bus Stop	bus_stop
1857090045	8.4939347	76.9538847	Model School	bus_stop
1862185265	10.2329725	76.1951200	Chandapura	bus_stop
1867138831	11.2680800	75.8200866	presentation but stop	bus_stop
1877768220	8.7748267	76.8805613	KSRTC Bus Depot Kilimanoor	
1878806017	11.2728511	75.7779459	East Nadakkavu	bus_stop
1878806029	11.2730063	75.7772405	East Nadakkavu	bus_stop
1889339116	11.6773239	75.7802670	Thottil Palam Bus Stand	
1889339117	11.6787041	75.7827740	Thottilpalam KSRTC Depot	bus_stop
1891131955	9.6172175	76.5095816		bus_stop
1903803439	11.2644359	75.8908622	Poovattuparamba	bus_stop
1903804053	11.2675911	75.8718357	Kuttikattoor	bus_stop
1903885089	11.2705097	75.8487408	Velliparamba	bus_stop
1903886506	11.2710253	75.8375238	Calicut Medical college toward Mavoor	bus_stop
1917699333	8.8570173	76.7221481	Chathannoor KSRTC Stand	
1930595751	10.0604552	76.6287507	കോതമംഗലം	
1960845678	10.7712438	76.5960754	Snup school bus stop	bus_stop
1964047991	12.3393503	75.1051569	Bus Stop - Kanhangad	bus_stop
1986777904	10.7760698	76.8212040	Menopara	bus_stop
1988660505	8.6371660	77.0220538		bus_stop
1989314958	10.7653938	76.6594781	Fort Maidan Chittor Road	bus_stop
1989314960	10.7657522	76.6552189		bus_stop
1989314961	10.7664572	76.6597061	Stadium Bypass	bus_stop
1989314963	10.7652699	76.6586065	Fort Maidan	bus_stop
1989351625	10.7730317	76.6628465	Stadium	bus_stop
1989351627	10.7680117	76.6502035		bus_stop
1989446717	10.7589358	76.6307672		bus_stop
1989446747	10.7644573	76.6445568	Pudupalli Street Bus Stop	bus_stop
1989446754	10.7623337	76.6422162		bus_stop
1989446763	10.7619816	76.6380262	Vennakkara Bus Stop	bus_stop
1989446767	10.7678079	76.6491833	KSRT Bus Stand	bus_stop
1989446770	10.7624315	76.6421967		bus_stop
1989446799	10.7618761	76.6381734		bus_stop
1989446801	10.7618686	76.6361960		bus_stop
1989446805	10.7617922	76.6361880		bus_stop
1989446810	10.7614438	76.6346543		bus_stop
1989446827	10.7615260	76.6346377		bus_stop
1989448345	10.7555524	76.6272938		bus_stop
1989448354	10.7551094	76.6215858		bus_stop
1992131923	8.5185176	77.0231096		bus_stop
1993430382	10.7748724	76.6532971		bus_stop
1993765093	10.7752697	76.6581667		bus_stop
2030179391	10.7686160	76.6509765	Mission School	bus_stop
2031343407	10.7785628	76.6536044		bus_stop
2043625478	10.6993688	76.7518918	Chittur Hospital Junction	bus_stop
2062633590	10.7684954	76.6458704	Nurani Bus Stop	bus_stop
2080113582	9.9892528	76.7898459	Bus Stop near SNMHSS	bus_stop
2083458733	8.9824738	77.1530879	ആര്യങ്കാവ്	bus_stop
2090587169	10.6641513	76.0031532	Vadakkekad Junction	bus_stop
2097801388	10.7701469	76.1921132	Irumbakassery	bus_stop
2101122702	9.9015568	76.3929721	Karavatte Kurish	bus_stop
2101122705	9.9137798	76.4120149	Thuppampady	bus_stop
2101136078	9.9206603	76.4086044	Thalacode	bus_stop
2101143428	9.9145949	76.4214193	Vettikkal	bus_stop
2111525968	10.8026555	76.2185009	Ongallur	bus_stop
2116916209	10.7140159	76.7337864	athicode	bus_stop
2116952978	10.6835723	76.7119828	Mettupalayam Junction	bus_stop
2117629688	10.6367660	76.5964533	Kunissery	bus_stop
2117629723	10.6382389	76.5923069	kunisserry	bus_stop
2121445667	10.8234810	76.6316828	Ummini	bus_stop
2121713395	10.7853734	76.2763317	Alinchuvadu	bus_stop
2121714109	10.8497112	76.2774380	Moloor city	bus_stop
2123457153	8.9698910	77.0987014	Kazhuthurutty	bus_stop
2133328111	10.7336968	76.6433049	Police Quarters	bus_stop
2135037717	11.3588847	75.9977222	Thottathinkadavu	bus_stop
2152043388	8.7295272	76.7353631		bus_stop
2152043406	8.7325727	76.7108623		bus_stop
2152043433	8.7344154	76.7255229		bus_stop
2152043448	8.7361972	76.7094327	Kairali Nagar	bus_stop
2152043460	8.7403666	76.7227335	Varkala Sivagiri	bus_stop
2156637630	10.6487488	76.7216054	karipali	bus_stop
2158769811	10.8162702	76.8619410	Velanthavalam Junction	bus_stop
2165142606	10.9751904	76.2254862	Pattambi Cherpulassery	bus_stop
2236999304	9.6626941	76.9951174	Erumbadam Bus Stop	bus_stop
2236999938	9.6932847	77.0261625	Parappu Bus Stop	bus_stop
2271219159	9.7162369	76.6649628	Nelliyani	bus_stop
2271279520	9.7576158	76.5610757	Kuravilangad Junction	
2288992305	9.7914693	76.8523262	Private Bus Station	
2291876211	9.6354156	76.6065123	Ayarkkunnam Private Bus Station	
2294085419	9.7593514	76.5617627	Kuravilangad Bus Stand	
2301202882	11.2781813	75.8094234	Chevarambalam	bus_stop
2301209739	11.2755316	75.8131284	Chevarambalam Store Bus Stop	bus_stop
2306040541	10.2131160	76.3992118	Ration Kada	bus_stop
2309571805	8.9053659	76.5614752	Ramankulangara	bus_stop
2309572281	8.9110574	76.5482877	KBC Junction	bus_stop
2339488528	9.6425316	76.4998361		bus_stop
2349386320	9.7460053	76.7025391	Pravithanam	bus_stop
2355694746	11.2450245	75.9755123	Edavannappara Bustand	
2376855121	9.9516908	76.3583345	Karingachira	bus_stop
2376866788	9.9468775	76.3532115	Railway Station	bus_stop
2388216777	9.0922448	76.4941459	Vallikavu Bus stop	bus_stop
2391140364	9.0891637	76.4858072	Parayakadavu bus stop	bus_stop
2391343016	9.9520508	76.2537227	Koovapadam	bus_stop
2391343017	9.9519841	76.2524456	Koovapadam	bus_stop
2391343018	9.9520508	76.2557319	Paravana Mukk	bus_stop
2391343019	9.9519132	76.2576994	Kappalandi Mukk	bus_stop
2391343021	9.9550343	76.2578416	Chakkamadam	bus_stop
2391343022	9.9591664	76.2578919	Star Junction	bus_stop
2391343057	9.9496497	76.2556511	Panayappilly	bus_stop
2401592592	8.8821150	76.5973436	Camp	bus_stop
2434821985	10.9164324	75.9244448	Tirur Market	bus_stop
2434822721	10.9149365	75.9230339	City	bus_stop
2435033943	10.8959799	75.9276107	Boys High School	bus_stop
2435035495	10.8951106	75.9277663	Boys High School	bus_stop
2435300880	10.8990218	75.9260336	Panchami	bus_stop
2435301595	10.8990867	75.9261888	Panchami	bus_stop
2435301869	10.9018101	75.9251347	Police Lane	bus_stop
2435302287	10.9015160	75.9254221	Police Lane	bus_stop
2435302651	10.9025449	75.9223961	Pottathappadi	bus_stop
2435303866	10.9058898	75.9210497	K. G. Padi	bus_stop
2435303925	10.9065983	75.9207734	K. G. Padi	bus_stop
2435304486	10.9080258	75.9205722	Poongottukulam	bus_stop
2435305228	10.9096773	75.9198667	Poongottukulam	bus_stop
2435305731	10.9130352	75.9192740	Tazhepalam	bus_stop
2435305736	10.9127033	75.9192043	Tazhepalam	bus_stop
2435343762	11.9438169	75.3051157	Azheekal Bus Terminal	
2444946691	9.5283558	76.5148446	Pallom	bus_stop
